obj_vol_annee,obj_vol_anneemois,obj_vol_mois,obj_vol_type_inter,obj_vol_type_machine,obj_vol_key_item,obj_vol_alias_type_inter,obj_vol_alias_type_machine,obj_vol_grp_machine,obj_vol_objectif_valeur
2025,20257,7,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,73
2025,20257,7,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,129
2025,20258,8,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,297
2025,20258,8,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,17
2025,20258,8,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,55
2025,20258,8,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,397
2025,20258,8,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,418
2025,20258,8,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,80
2025,20258,8,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,5
2025,20258,8,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,108
2025,20258,8,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20258,8,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20258,8,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,9
2025,20258,8,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,135
2025,20258,8,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,5
2025,20258,8,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,165
2025,20258,8,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,56
2025,20258,8,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,99
2025,20259,9,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,405
2025,20259,9,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,24
2025,20259,9,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,78
2025,20259,9,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,556
2025,20259,9,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,583
2025,20259,9,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,108
2025,20259,9,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,7
2025,20259,9,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,153
2025,20259,9,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20259,9,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20259,9,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20259,9,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,197
2025,20259,9,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20259,9,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,229
2025,20259,9,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,79
2025,20259,9,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,136
2025,202510,10,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,450
2025,202510,10,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,26
2025,202510,10,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,86
2025,202510,10,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,622
2025,202510,10,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,651
2025,202510,10,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,121
2025,202510,10,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,8
2025,202510,10,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,172
2025,202510,10,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,202510,10,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,202510,10,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,13
2025,202510,10,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,222
2025,202510,10,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,8
2025,202510,10,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,255
2025,202510,10,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,87
2025,202510,10,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,152
2025,202511,11,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,384
2025,202511,11,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,23
2025,202511,11,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,74
2025,202511,11,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,525
2025,202511,11,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,538
2025,202511,11,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,102
2025,202511,11,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,7
2025,202511,11,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,144
2025,202511,11,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,202511,11,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,202511,11,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,202511,11,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,186
2025,202511,11,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,202511,11,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,218
2025,202511,11,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,75
2025,202511,11,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,128
2025,202512,12,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,361
2025,202512,12,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,21
2025,202512,12,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,68
2025,202512,12,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,490
2025,202512,12,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,97
2025,202512,12,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,6
2025,202512,12,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,136
2025,202512,12,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,202512,12,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,202512,12,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,202512,12,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,149
2025,202512,12,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,5
2025,202512,12,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,206
2025,202512,12,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,67
2025,202512,12,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,515
2025,202512,12,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,98
2026,20261,1,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,164
2026,20262,2,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,107
2026,20263,3,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,63
2026,20264,4,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,60
2026,20265,5,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,47
2026,20266,6,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,62
2026,20267,7,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,51
2026,20268,8,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,39
2026,20269,9,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,56
2026,202610,10,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,60
2026,202611,11,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,55
2026,202612,12,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,47
2026,20261,1,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,1
2026,20262,2,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,15
2026,20263,3,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,47
2026,20264,4,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,45
2026,20265,5,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,39
2026,20266,6,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,46
2026,20267,7,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,40
2026,20268,8,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,34
2026,20269,9,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,43
2026,202610,10,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,45
2026,202611,11,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,43
2026,202612,12,installation,momentoblack,installation_momentoblack,INSTALLATION,MOMENTO BLACK,TRANSPORTABLES,37
2026,20261,1,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,8
2026,20262,2,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,0
2026,20263,3,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,10
2026,20264,4,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,10
2026,20265,5,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,9
2026,20266,6,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,10
2026,20267,7,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,9
