article_ref_nomad,article_desc,article_ref_cordon,article_prix_unitaire
0018352,Tuyau Silicone 5*2*280,07EUGPPC0441,0.22
0018667,Support 758 filtre eau,07EUGPPC0443,1.03
0018742,Rivet creux A2.4x0.25x15.0,07EUGPPC0444,0.03
0018794,Vis GF/Tapt M3x6 zing,07EUGPPC0445,0.01
0018904,Vis PT p/plastique 3.0x16,07EUGPPC0097,0.02
0019109,Elem. tôle 758 droite,07EUGCOS0276,12.13
0019110,Bac Collect 758 noir,07EUGCOS0271,1.73
0019111,Couvercle à déclic 758 noir,07EUGCOS0270,0.15
0019192,Electronique print,Non Référencé CORDON,0
0019193,Film adhés. 758 noir,07EUGCOS0253,2.79
0019194,Feuille de clavier de commande,07EUGCOS0281,2.11
0019195,Circ. imp. comm. 758 cpl,Non Référencé CORDON,0
0019196,Cordon débimètre 758,07EUGPPC0446,1.93
0019243,Vis autoformeuse/Tapt.M4.0x12,07EUGPPC0340,0.02
0019244,Vis KST/PT M3.0x20,07EUGPPC0447,0.08
0019503,vis torx 10,07EUGPPC0341,0.03
0019504,Vis PT p/plastique 3.0x20,07EUGPPC0448,0.01
0019711,CCT fil torsadé 758 EU 192C,07EUGPEM0140,0.81
0019770,Vis GF/Tapt.M4 x8 zing,07EUGPPC0153,0.04
0019808,Interrupteur miniature Cherry,Non Référencé CORDON,0
0019901,Tuyau FEP 4.0x2.5x120mm,07EUGPPC0449,3.76
0020151,Vis Rondelle 4.3x12.0x1.5,Non Référencé CORDON,0
0020355,Rech. élé chauf. 758,07EUGPEM0114,23.74
0020740,Vis GF/Tapt.M3.0x 8,07EUGPPC0155,0.02
0020901,Levier Bouton,07EUGCOS0254,0.68
0020979,Vis KST/PT 3.0x10 zing tête rd,Non Référencé CORDON,0
0021542,Clip CCT TB2001 0.5x10x21 mm,07EUGPPC0099,0.02
0021740,Vis GF/Tapt.M3x16 zing,Non Référencé CORDON,0
0022504,Vis KST/PT 3.5x16 zing,07EUGPPC0450,0.03
0023217,Pieds caoutchouc SJ-6115 noirs,Non Référencé CORDON,0
0023348,Plaque pyramidale,Non Référencé CORDON,0
0023709,Joint rond 6.75x1.78 silicone,07EUGPPC0451,0.05
0023968,Clip CCT plat. élé. chauf.,07EUGPPC0453,0.01
0024374,Joint rond 3.4x1.9 silicone,07EUGPPC0055,0.03
0024394,Poignée boule 748,07EUGCOS0255,0.18
0024863,Vis séc. KST/PT 3.0x12,07EUGPPC0018,0.02
0025039,Douille distribu,07EUGPPC0313,0.1
0025156,Thermostat 115C/10.0A,07EUGPPC0003,0.59
0025297,Circ. imp. contact Reed 747,07EUGPEM0132,2.63
0025361,Clé douille 758,07EUGOUT0010,1.21
0025427,Couvercle 748 réserv eau noir,Non Référencé CORDON,0
0025783,Joint 758 2x0.5mm noir,07EUGPPC0257,0.53
0026089,Joint couplage bac à eau,07EUGPPC0163,0.14
0026161,Bride pour thermostat 1 NT,Non Référencé CORDON,0
0026289,Tole d'égouttoir 747 inox,07EUGCOS0256,1.35
0026300,Base 747 black,Non Référencé CORDON,0
0026305,Réserv eau 747 cpl,07EUGCOS0259,3.21
0026307,Interrupteur 747,07EUGPEM0115,0.55
0026357,Bouton basc. noir,07EUGPEM0116,0.17
0026521,Attache caoutchouc pompe Ulka,07EUGPPC0458,0.19
0026524,Axe 758 pour éjecteur modif.,07EUGPPC0459,0.01
0026552,CCT fil torsadé 747 EU 216C,07EUGPEM0136,0.93
0026554,Fil tors. EU jaune-vert 100mm 0.75,07EUGPEM0117,0.1
0026555,Fil torsadé blanc 747,07EUGPEM0118,0.21
0026556,Fil torsadé Eu blanc 747,07EUGPEM0119,0.1
0026557,Fil torsadé EUR bleu 240mm,07EUGPEM0120,0.09
0026558,Fil torsadé EU blanc 420mm,07EUGPEM0121,0.2
0026559,Tuyau silicone 5x2x140,07EUGPPC0164,0.16
0026560,Tuyau silicone 747,07EUGPPC0460,0.22
0026561,Tuyau FEP 4x2.5x300 mm,07EUGPPC0461,0.77
0026563,Tuyau FEP D4,07EUGPPC0462,3.69
0026661,Ejecteur 758/747 noir,07EUGPPC0463,0.43
0026662,Plateau suppport inf. 758/747,07EUGPPC0464,0.54
0026787,Vis M4x10 zing bltête cyl,Non Référencé CORDON,0
0026909,Ressort traction 0.7x5.2x41.4 mm,07EUGPPC0465,0.21
0026928,Tete extract. part inf 758/747 modif,07EUGPPC0467,4.05
0026934,Partie sup. tête-percolatrice,07EUGPPC0468,2.8
0027113,Clip thermostat 1NT/01,07EUGPPC0004,0.05
0027120,Bouchon noir silicone 748,07EUGPPC0469,0.25
0027136,Tuyau silic/renforcé di 4.2 da 8.0/160mm,07EUGPPC0166,0.3
0027295,Flotteur 748 jaune,07EUGPPC0470,0.04
0027326,Tuyau FED D4.0/2.03x120mm 2 brides,07EUGPPC0167,0.27
0027558,Thermobloc 747,Non Référencé CORDON,0
0027672,Capot 758/747 noir avec N-logo,07EUGCOS0273,0.62
0027732,New Transmission,Non Référencé CORDON,0
0027789,Profile lateral 747 gauche,07EUGCOS0275,5.78
0027795,Tuyau PFA D4,07EUGPPC0473,1.31
0027871,Embout fluide 608 1x noir D=5.6/4.8,07EUGPPC0169,0.07
0027994,O-Ring 006.00x3.00 silic/2-K 60 shore ro,07EUGPPC0474,0.04
0028008,Recouvrement poignée valve 747,07EUGPPC0475,0.55
0028054,Valve céramique rempl. 747,07EUGPPC0476,8.69
0028055,Valve céramique rempla. 747,07EUGPPC0477,6.08
0028056,Kit remp. unité de brassage 747,07EUGPPC0478,26.83
0028150,Cache 747 sup noir,07EUGCOS0260,1.5
0028151,Recouvrement logic-print 747 droite,07EUGCOS0261,0.32
0028152,Recouvrement logic-print 747 gauche,07EUGCOS0262,0.32
0028197,Recouv. prise courant 758 V2 noir,07EUGPPC0479,0.2
0028303,Poignée machoire 747 chrom.V2,07EUGCOS0263,4.83
0028499,Electronic LED 747,07EUGCPE0001,2.04
0029082,Capteur reed 640 reserv eau,07EUGPEM0167,1.19
0029325,Circ. imp comm 742 gauche,Non Référencé CORDON,0
0029329,Cable connex 742,07EUGPPC0482,4.17
0029371,Connecteur 751 Y 742,07NESOUT0024,0.43
0029526,Circ. imp Contact Redd 742,Non Référencé CORDON,0
0029767,Vase expansion 747 cpl,07EUGPPC0484,0.45
0029768,Vase expansion 742 cpl,07EUGPPC0485,0.43
0029816,Valve aimant support 742,07EUGPPC0503,0.33
0029877,Cordon débimètre 742,07EUGPEM0122,2.23
0029878,Profile lateral 742 gauche,07EUGCOS0277,5.78
0029922,Microrupt XCG55V-81-LZ187 levier,07EUGPEM0035,0.87
0029989,Tuyau silicone 742,07EUGPPC0170,0.22
0029991,Tuyau angilaire 742,07EUGPPC0486,0.42
0029993,Tuyau PFA 742,Non Référencé CORDON,0
0029996,Tuyau FEP 742,07EUGPPC0461,0.77
0035002,CCT fil torsadé 742 EU 216C,07EUGPEM0147,0.7
0035003,Multiple fil torsadé bleu 742,07EUGPEM0123,0.24
0035005,Fil torsadé EU violet 240 mm,07EUGPEM0124,0.1
0035006,Fil torsadé EU blanc 70 mm,07EUGPEM0125,0.05
0035013,Fil torsadé EU brun 300 mm,07EUGPEM0146,0.72
0035119,Fil torsadé EU noir 310 mm,07EUGPEM0126,0.16
0035257,Rech. soupa magn 742,07EUGPPC0488,15.66
0035258,Rech soup céram 742 cpl,07EUGPPC0489,7.11
0035259,Rech poussoir soupa 742 cpl,07EUGPPC0490,1.13
0035388,Tuyau PFA 742,07EUGPPC0492,0.77
0035389,Fil torsadé EU blanc 140 mm,07EUGPEM0127,0.12
0035390,Tuyau PFA 742,07EUGPPC0493,0.67
0035393,Tuyau silicone 742,Non Référencé CORDON,0
0035422,Cache 742 sup noir,07EUGCOS0264,1.29
0035699,Réflecteur 742,07EUGPPC0494,0.24
0035726,Sonde Température 737 cpl,07EUGPEM0142,2
0035945,tuyau silicon D09.0xd5.00x300mm,07EUGPPC0686,0.29
0036083,O-Ring 6.07*1.78 Silicone,07EUGPPC0495,0.23
0036084,O-Ring 7*2 Silicone,07EUGPPC0496,0.11
0036533,Adaptateur 758 noir V2,07EUGPPC0497,0.08
0036659,Embout fluide 608 3x noir,07EUGPPC0759,0.3
0036806,Tuyau Silicone 8*1.75*250,07EUGPPC0499,0.38
0037226,Equip. mousse 737 cpl,07EUGCOS0265,1.3
0037283,Attache Câble Fastex Driller,07EUGPPC0500,0.02
0037284,Attache Câble Fastex Driller,07EUGPPC0501,0.02
0037334,Thermobl 2001/L 230V/1200W embout soudé,07EUGPEM0154,9.13
0037384,Clip D=5mm bruni TB200x,07EUGPPC0011,0.03
0037513,Circ imp IR 742 V2 resist equilibr,Non Référencé CORDON,0
0037642,Base 747/2 Noir,07EUGCOS0287,1.25
0037757,Tuyau silic/renforcé di 4.2 da 8.0/120mm,07EUGPPC0176,0.23
0037789,Protect Antipli 120° noir,07EUGPPC0502,0.07
0038623,Vis M4 x 6 zing,Non Référencé CORDON,0
0038641,Attache cable Fastex Driller,Non Référencé CORDON,0
0038912,Fil torsadé mult 747 EU jaune,07EUGPEM0128,0.17
0040198,Sonde température 704 cpl (NTC),CS20 - Non Référencé CORDON,0
0040238,Soupa magn DEV122 240V 2 côtés racc,07EUGPPC0314,8.44
0040406,Tube Vap 742/747,07EUGCOS0280,2.85
0040443,Tube vapeur 742/747,07EUGCOS0283,8.02
0040606,Capuchon isolant IT 125°,07EUGPPC0025,0.02
0040814,Plaquette 704 CS20,CS20 - Non Référencé CORDON,0
0040855,Corps buse 737 tube vap V2 noir,07EUGPPC0505,0.14
0040863,Tuyau FEP D4.0/2.50x200mm,07EUGPPC0349,0.63
0041285,Thermobloc avec nouveau raccord,07EUGPPC0521,29.5
0041387,Racc fluide form T court anthrac 3xF,07EUGPPC0183,0.22
0041485,Electronic comm-print 747,07EUGPEM0141,11.84
0041719,Mode d'emploi 742,Non Référencé CORDON,0
0041821,Vis GF/Tapt.M4. 0x12 zing bl tête rd,Non Référencé CORDON,0
0041827,Ejecteur GEMINI,Non Référencé CORDON,0
0041846,Axe 702 unité extract noir,07EUGPPC0185,0.09
0041847,Bague appui,07EUGPPC0186,0.15
0041899,Etiqu emball 704 CS20,CS20 - Non Référencé CORDON,0
0041927,Joint 012.00 x 1.00,Non Référencé CORDON,0
0041936,Racc fluide court form I anthrac 2xF,07EUGPPC0187,0.18
0041946,Mode d'emploi 758,Non Référencé CORDON,0
0041947,Mode d'emploi 747,Non Référencé CORDON,0
0042171,Microrupt. D41R-QGAC,Non Référencé CORDON,0
0042374,Sortie bac à café,07EUGPPC0312,0.27
0042396,Tablette tasses 704 chrom,07EUGCOS0493,15.91
0042398,Egouttoir 704 Inox V2,CS20 - Non Référencé CORDON,0
0042400,Electro 704 marche/arrêt,CS20 - Non Référencé CORDON,0
0042401,Electro 704,CS20 - Non Référencé CORDON,0
0042402,Electro 704 réserv. eau,CS20 - Non Référencé CORDON,0
0042439,Bague de bac égouttoir 747,07EUGCOS0266,0.5
0042440,Bac collect 747 noir V2 grand,07EUGCOS0267,1.1
0042463,Tuyau silic/renforcé di 4.2 da 8.0/60mm,07EUGPPC0189,0.14
0042516,Lentille 704 topaze fumé,CS20 - Non Référencé CORDON,0
0042518,Couvercle 704 sortie arg laqué,CS20 - Non Référencé CORDON,0
0042519,Sortie 704 noir,CS20 - Non Référencé CORDON,0
0042568,Tuyau Silicone,07EUGPPC0519,0.17
0042572,Racc fluide form V 55° V2 noir 2xF,07EUGPPC0014,0.15
0042576,Interrupteur 1552-3112G,07EUGPEM0129,1.29
0042585,Tuyau silic/renforcé di 4.2 da 8.0/45mm,07EUGPPC0190,0.12
0042590,Levier commutat. noir,Non Référencé CORDON,0
0042601,Egouttoir 702 inox,07EUGPPC0192,1.79
0042602,Egouttoir 702 Inox gauch-droit,07EUGPPC0192,1.79
0042603,Conten marc 702 noir,07EUGPPC0193,2.39
0042605,Cache 702 sortie noir,07EUGCOS0124,0.47
0042611,Vis M6x25 zing,Non Référencé CORDON,0
0042651,CCT fil tors 704 184C brun 280/250,07EUGPEM0255,0.72
0042653,Fil tors bleu 140mm 0.75mm2,Non Référencé CORDON,0
0042654,Fil tors bleu 280mm 0.75mm2,Non Référencé CORDON,0
0042655,Fil tors bleu 300mm 0.75mm2,Non Référencé CORDON,0
0042656,CCT fil tors. bleu 170mm 0.75mm2,Non Référencé CORDON,0
0042657,Fil tors mult. 704 jaune vert 340/200,CS20 - Non Référencé CORDON,0
0042667,Trémie capss 702 gauch noir,07EUGCOS0125,2.51
0042733,Voyant lumineux 70 bouton press,07EUGPPC0760,0
0042743,Cable réseau nr H05VV-F3G1,Non Référencé CORDON,0
0042748,Bouton press 704 noir,CS20 - Non Référencé CORDON,0
0042749,Pied caoutchouc 12.6x6.5 mm,07EUGPPC0768,0.01
0042752,Fil tors brun 150mm 0.75mm2,Non Référencé CORDON,0
0042755,Supp soupa 704 ac zingué,CS20 - Non Référencé CORDON,0
0042835,Corp Buse 705 eau chaude chromé,07EUGPPC0555,1.51
0042895,Couvercle 702 réserv eau noir,07EUGCOS0126,2.68
0042964,CCT fil ors 702 EU 167C (1xE5) gris 70/3,07EUGPPC0207,1
0043021,Plaque 702 contact noir,Non Référencé CORDON (Obsolète),0
0043039,Sortie cappuc noir,07EUGPPC0217,0.64
0043358,Ress Compress con 0.6*D8.3/10,Non Référencé CORDON,0
0043361,DMC/1215/t 15A,Non Référencé CORDON,0
0043363,Bague étanch 704 10.2*5.2*4.8 silicone,CS20 - Non Référencé CORDON,0
0043391,Pompe CP.04.116.O/ST/S/P0230V 50hz,07EUGPEM0037,9.47
0043399,Trémie capss 702 droite noir,07EUGCOS0128,2.52
0043408,Vis KST/PT 2.2x18 inox tête rd,07EUGPPC0230,0.12
0043442,Fil tors mult.705 EU jaune,07EUGPPC0231,0.56
0043537,Plaque isolation 704 mica,CS20 - Non Référencé CORDON,0
0043538,O-Ring 0009.20x2.00 silic 70,Non Référencé CORDON,0
0043542,Tuyau silic/renforcé di 4.2 da 8.0/35mm,07EUGPPC0762,0.1
