article_ref_nomad,article_desc,article_ref_cordon,article_prix_unitaire
TP117469,diaphragme valve hydro ,07THEPPC0035,44.75
TP117662,air mini valve,07THEPEM0009,24.59
TP117704,ventilateur réfrigérateur 24VDC,07THEPEM0010,19.18
TP118145,connecteur d'angle,07THEPPC0036,5.62
TP118151,fusible T4A H250V 5x20,07THEPEM0054,0.48
TP118525,bloc nettoyage sans valve purge,07THEPEM0011,77.9
TP118594,plongeur lait avec filtre,07THEPPC0037,1.18
TP118950,bac capsule aguila,07THEPPC0072,51.73
TP118965,tole façade Aguila sans electronique,07THECOS0001,51.84
TP119033,module lait complet,07THEPEM0012,313.19
TP119052,bouilloire café complette,07THEPEM0061,123.08
TP119055,bouilloire eau chaude complette,07THEPEM0062,224.99
TP119063,carte de contrôle EACB,07THEPEM0013,140.52
TP119063R,carte de contrôle EACB Reconditionné,07THEPEM0013CR,0
TP119064,carte de puissance module ,07THEPEM0014,90.85
TP119064R,carte de puissance module reconditionné,07THEPEM0014CR,0
TP119069,Support de tasse Complet,07THECOS0002,29.18
TP119141,Façade Aguila 420 complette,07THECOS0003,261.29
TP119143,joint 88.00x4.00 EPDM,07THEPPC0038,1.21
TP119201,sortie café,07THEPPC0039,1.82
TP119228,bac évacuation AG420/AG440,07THECOS0026,29.05
TP119230R,réfrigérateur 230V complet,Non Référencé CORDON,0
TP119240,débitmètre G1/4  Ø1.15 complet,07THEPEM0016,26.96
TP119241,kit robinet contrôle de pression 16.5bar,07THEPEM0017,9.47
TP119295,Corps de pompe,07THEPEM0018,91.11
TP119295R,Corps de pompe,07THEPEM0060CR,0
TP119297,pompe eau + moteur,07THEPEM0019,147.67
TP119305,moteur de pompe 230V,07THEPEM0020,93.13
TP119385,débitmètre G1/4 Ø1.15,07THEPEM0022,27.86
TP119391,bouilloire à thé complète,07THEPEM0021,67.54
TP119407,valve anti-retour lait complète,07THEPEM0023,4.03
TP119414,joint 2.90x1.78 EPDM,07THEPPC0040,0.51
TP119415,joint 8.00x1.50 EPDM,07THEPPC0041,0.51
TP119440,clavier café complet,07THEPEM0024,30.07
TP119440R,clavier café complet reconditionné,07THEPEM0024CR,0
TP119444,clavier recette avec display,07THEPEM0069,107.59
TP119444R,clavier recette avec display reconditionné,07THEPEM0104CR,0
TP119445,levier,07THEPPC0042,9.29
TP119536,unité d'extraction Droite,07THEPEM0026,37.57
TP119537,unité d'extraction gauche ,07THEPEM0027,37.42
TP119562,Porte réfrigerateur Aguila,07THECOS0004,67.14
TP119584,vis porte réfrigérateur,07THEPPC0068,0.45
TP119596,sortie thé + recette,07THEPEM0028,3.05
TP119599,tole façade boule Aguila nu,07THECOS0005,46.54
TP119629,connexion RB/WP avec T complet,07THEPPC0043,13.67
TP119665,tube silicone  °8.5/4 x 1000mm,07THEPPC0070,0
TP119779,Raccord serpentin,07THEPPC0116,3.86
TP119898,valve diaphragme 2/2 Ø2.0 complet,07THEPEM0029,37.56
TP119903,faisceau de câblage module,07THEPEM0030,17.59
TP119904,faisceau de câblage RF/W - pompe,07THEPEM0031,7.51
TP119998,cable court 24V,07THEPEM0072,1.4
TP119999,câble alimentation 24V,07THEPEM0032,7.48
TP120001,faisceau pompe Aguila,07THEPEM0082,4.9
TP120002,serrure avec câble,07THEPEM0033,10.73
TP120009,bac lait Aguila,07THEPPC0073,18.39
TP120011,faisceau câblage signal,07THEPEM0034,25.41
TP120045,bouton-poussoir M12x075,07THEPPC0044,4.81
TP120079,carte de puissance,07THEPEM0035,93.66
TP120136,ensemble pompe lait,07THEPEM0036,224.92
TP120179,enjoliveur bac égoutoire,07THECOS0006,60.22
TP120248,électrovanne 2/2 Ø11 petite,07THEPEM0038,18.88
TP120250,électrovanne 3/2 Ø11 petite,07THEPEM0039,19.88
TP120257,joint Ø2900x3.00 EPDM clef de nettoyage,07THEPPC0045,0.83
TP120301,buse pompe à lait inox,07THEPPC0046,3.49
TP120302,bague d'espacement buse,07THEPPC0047,2.74
TP120337,Mini Electrovanne 32/2 air pompe,07THEPEM0076,20.49
TP120357,manomètre de pression 16Bar complet,07THEPEM0040,47.12
TP120360,Vis Levier,07THEPPC0110,0.21
TP120369,grille support de tasse aguila,07THECOS0007,7.87
TP120406,faisceau câble vanne de nettoyage,07THEPPC0048,0.88
TP120413,clef de programmation,07THEOUT0002,2.14
TP120436,Cable intermédière 24V,07THEPEM0073,1.7
TP120437,faisceau câble RF-box / OV clef nettoyage,07THEPEM0041,5.14
TP120438,câble de connexion RF-BOX  CPU,07THEPPC0049,7.5
TP120449,carte de contrôle,07THEPEM0042,156.09
TP120451,Roulement poigné aguila,07THEPPC0074,1.4
TP120488,Tuyau Evacuation AG420/440 complet,07THEPPC0089,15.76
TP120505,valve anti-retour G1/8 assemblé,07THEPEM0043,5.28
TP120528,Boite de 62 tablettes de nettoyage Schultz,07THEFCH0002,25.39
TP120555,kit noyau d'électrovanne 3/2,07THEPEM0044,4.61
TP120564,kit noyau d'électrovanne 2/2,07THEPEM0045,6.52
TP120572,grande valise Aguila ,07THEKIT0005,3012.37
TP120574,kit électrovanne 3/2 Ø14 petite,07THEPEM0046,30.39
TP120592,Collecteur Y vidange,07THEPPC0075,0.65
TP120616,Câble électrovanne arriver d’eau ,07THEPPC0112,1.67
TP120694,connecteur droit 4-1/8,07THEPPC0062,1.9
TP120698,connecteur coudé 4-1/8,07THEPPC0050,5.36
TP120900,carton 12 boites tablette,07THEFCH0001,273.07
TP120930,clef de nettoyage complète,07THEPEM0047,5.97
TP121171,carte de puissance module assemblé,07THEPEM0048,96.16
TP121179,robinet régulateur d'air bleu,07THEPEM0049,3.05
TP121209,carroserie gauche aguila,07THECOS0008,74.95
TP121210,carroserie droite Aguila,07THECOS0009,70.01
TP121297,connecteur RF-box ,07THEPPC0053,4.94
TP121409,Nozzle pompe à lait,07THEPPC0117,0.7
TP121510,support RFBOX haut support ventilateur,07THEPPC0087,2.26
TP121511,cache RF-Box AG440 / AG220,07THEPPC0092,1.56
TP121736,chauffe tasse AG440/AG420 sans neslink,07THECOS0033,162.89
TP121764,dispositif de démarrage compresseur 230V,07THEPEM0050,14.41
TP121907,système de nettoyage complet,07THEPEM0051,33.69
TP122373,Joint raccord serpentin,07THEPPC0115,0.48
TP122785,plongeur lait complet v3,07THEPEM0052,12.04
TP122832,sonde de remplissage lait complète,07THEPEM0053,13.03
TP123422,Grande grille evacuation AG220/440,07THECOS0029,36.96
TP123427,frame front set drip tray AG220,07THEPPC0065,46.24
TP123562,ressort de vanne magnétique,07THEPPC0054,0.47
TP124160,clef rouge,07THEPPC0055,4.88
TP124419,réducteur de pression,07THEPPC0056,1.07
TP124675,Boilloire Gauche AG220/440 ,07THEPEM0087,128.64
TP125024,HACB Control Board AG220,07THEPEM0085,136.42
TP125025,HAPB Power Board,07THEPPC0067,97.76
TP125205,check valve G1/4,07THEPPC0061,9.65
TP125297,Flowmeter ø4-1/4. ø1.15 V3,07THEPEM0022,27.86
TP125335,Liaison sonde frigo AG220,07THEPPC0108,1.13
TP125377,kit préventive AG420,07THEKIT0002,642.54
TP125399,Tuyau Evacuation 220 complet,07THEPPC0090,16.85
TP125510,petite valise Aguila,07THEKIT0006,998
TP125647,Levier Zamak,07THEPPC0057,9.5
TP125647R,Levier Zamak reconditionné,07THEPPC0057CR,0
TP125694,tube asspiration AG220,07THEPPC0066,10.4
TP125808,Ensemble pompe lait AG220/440,07THEPEM0074,270.93
TP125827,Serrure AG220 - 440,07THEPPC0113,9.87
TP125841,Liaison connecteur Frigo AG220,07THEPEM0097,7.85
TP125867,Raccord coudé pompe eau Aguila 8-3/8,07THEPPC0098,8.29
TP125873,drain plug G1/8,07THEPPC0058,2.83
TP125894,electrovanne 2/2 set,07THEPEM0037,33.84
TP125921,Connecteur RB à WP répartiteur d'eau,07THEPEM0066,15.26
TP125929,valve de contôle de pression 16.5 bar,07THEPPC0076,15.18
TP125951,BU B2B horeca droite assemblé,07THEPPC0052,132.93
TP125952,BU B2B horeca gauche assemblé,07THEPPC0051,133.42
TP126015,kit de maintenance BU,07THEPPC0059,37.3
TP126063,Raccord T sortie boilloire cafe AG220/440,07THEPPC0088,10.26
TP126122,carte de puissance AG220,07THEPEM0058,102.78
TP126525,Frixation Gauche support de tasse Aguila,07THEPPC0077,3.94
TP126526,Frixation Droite support de tasse Aguila,07THEPPC0078,3.95
TP126539,alimentation AG220 220V,07THEPEM0089,6.87
TP126592,Clavier recette Aguila AG220/440,07THEPEM0025,120.56
TP126617,kit préventive AG220,07THEKIT0008,348.41
TP126667,sonde niveau et température complette,07THEPEM0059,60.82
TP126770,Kit raccordement caisse de restauration,07THEPPC0079,11.5
TP126976,Moteur + corps de pompe,07THEPEM0060,264.97
TP126986,électrovanne 2/2 proportionnelle AG220,07THEPEM0075,85.49
TP127814,pils baterie AG440,07THEBAT0001,1.41
TP128065,flexible 12/17,07THEPPC0093,11.84
TP128750,Joint flexible 3/8,07THEPPC0101,0.53
TP128883,petite grille évacuation AG440,07THECOS0028,30.34
TP128991,Carte de puissance AG440,07THECEL0001,125.64
TP128992,Carte de contrôle AG440,07THECEL0002,102.79
TP129222,aspiration lait gauche AG440,07THEPPC0094,19.18
TP129322,aspiration lait droite AG440,07THEPPC0095,18.6
TP129379,cable de connection RFBOX AG440,07THEPEM0090,13.96
TP129383,bac lait gauche violet AG440,07THECOS0030,10.16
TP129384,bac lait droit jaune AG440,07THECOS0031,10.35
TP129456,carte de connection AG440,07THEPEM0091,8.26
TP129492,bouton mise en veille,07THECOS0032,2.25
TP129863,Porte Refrigerateur avec serrure,07THECOS0013,94.03
TP129903,carte power supply AG440,07THEPEM0092,100.94
TP130174,kit préventive AG440,07THEKIT0011,665.99
TP130994,raccord T pompe eau Aguila 6-3/8,07THEPPC0097,7.89
TP132534,Raccord L arrivée d'eau 3/8 - 10,07THEPPC0104,19.71
TP132598,Raccord chaudière café Aguila,07THEPPC0100,4.15
TP132854,T de sortie bouilloire café Gauche Aguila 440/220,07THEPPC0099,6.36
TP133342,Check valve G1/4 V3,07THEPPC0061,9.65
TP133716,Sonde Frigo AG V3,07THEPEM0096C,0
TP134428,Sonde niveau AG440 Jaune,07THEPEM0094,60.45
TP134430,Sonde niveau AG440 Violet,07THEPEM0095,63.38
TP142079,Couvercle suppression interrupteur R600A,07THEPPC0134,2.29
TP142461,Cablage 380V AG220 R600A,07THECAB0005,7.26
TP142462,Cablage 220V AG220 R600A,07THECAB0006,9.42
TP142478,Panneau central arrière AG220 R600A,07THECOS0048,62.73
TP142483,Réfrégirateur AG440 R600A,07THEPEM0114,718.13
TP142487,Réfrégirateur AG220 R600A,07THEPEM0112,607.28
TP142765,Cablage AG440 R600A,07THECAB0007,24.7
TSIL05/08T,TUYAU EN SILICONNE 5X8,07EDGPPC0012,2.28
TSIL07/11T,TUYAU SILICONE 7X11,07EDGPPC0013,4.08
V11132,Raccord synthétique Male 3/8 - VD,07NESPPC0015,2.51
V53300,Réducteur de pression,07NESPPC0010,50.25
V5700211,Kit pompe flojet,07NESDIV0018,160.65
V5701103,Bidon à eau 20L,07NESDIV0019,10.65
V90612E,Equerre Male 1/4-6mm,07NESPPC0004,3.27
VPBF00300,Mamelon double MM3/8,Non Référencé CORDON,0
VPEN00604,Tuyau poly noir 4x6mm,07NESPPC0005,45
VPM0206E,PM 0206E - 6 - Té égal,07NESPPC0006,2.58
VPM210806E,PM210806E equerre inég 8/6,Non Référencé CORDON,0
VPPMS606,Vanne d'arrêt droit synth. pour tube 6mm,07NESPPC0007,7.63
WZ154007,Reduc synth. raccord tournant,07NESPPC0008,4.88
Z0010020052,BUSE SORTIE PRODUIT ,07EDGPPC0014,0.35
Z0010024164,EJECTEUR DU BAC DE COLLECTE,07EDGPPC0015,1.4
Z0010024164R,EJECTEUR MARC DE CAFE,07EDGPPC0016,6.78
Z0010027022,TIROIR,07EDGPPC0017,0.91
Z0020039073CM,GOUPILLE DE SOUTIEN DE TASSE  RAL9006,07EDGPPC0018,0.76
Z0020039533,BEC VERSEUR 30° D.6,07EDGPPC0019,0.19
Z0020039539R,BEC VERSEUR D.4  (Lot de 10),07EDGPPC0020,0.78
Z002A122029R1,PLEXIGLASS + ECRAN TACTILE + PANNEAU NOIR MILANO,07EDGCOS0003,190.56
Z002A122041-04,SUPPORT DE GOBELET EN ACIER INOXYDABLE,07EDGCOS0004,20.08
Z002A145034R,PANNEAU NOIR EN PLEXIGLAS,07EDGCOS0005,190.56
Z0080100042,BAGUE DE MELANGEUR/TUYAU D'ENTREE,07EDGPPC0021,0.91
Z0080100043,CONNECTEUR MELANGEUR,07EDGPPC0022,0.13
Z0080100153,CONNECTEUR DE MELANGE LONG,07EDGPPC0023,4.66
Z0080200101L,BOL MELANGEUR L.W/H20 BREAKER ,07EDGCOS0006,2.45
Z0080200102R,BOL MELANGEUR R.W/H20 BREAKER,07EDGCOS0007,2.45
Z0080200103C,BOL MELANGEUR F.W/H20 BREAKER,07EDGCOS0008,2.45
Z0080200110L,BOL DE MELANGE L.W/H20 ,07EDGCOS0009,2.45
Z0080200112C,BOL DE MELANGE F.W/H20 ,07EDGCOS0010,2.45
Z0090002042R,MOTEUR 2.2 RPM 24VDC + FILTER,07EDGPEM0018,23.99
Z0090003047,MOTEUR DE MEULE 230V DC,07EDGPEM0019,19.28
Z0110001130,ELECTROVANNE 2Wx3 24V DC 6W,07EDGPEM0020,17.14
Z0110001140,ELECTROVANNE 2W 24V DC 6W,07EDGPEM0021,18.08
Z0110001145,ELECTROVANNE 3W 5W 24V DC,07EDGPEM0022,22.41
Z0110001151,ELECTROVANNE 3W W/BY-PASS 11BAR,07EDGPEM0023,10.45
Z0110004023,CONNECTEUR,07EDGPPC0024,0.42
Z0110004063,POMPE EP5 230V 50HZ,07EDGPEM0024,12.05
Z0110020007,FILTRE EN PLASTIQUE  DIAM. 20 (Lot de 10),07EDGPPC0025,1.04
Z0230030062,AGITATEUR 112 - LEFT OUTLET (Lot de 10),07EDGPPC0026,2.87
Z0230030064,AGITATEUR 112 - RIGHT OUTLET (Lot de 10),07EDGPPC0027,2.87
Z0230030233R,CARTOUCHE 54-265,07EDGCOS0011,13.09
Z0230030234,CARTOUCHE 110-265 W/PIN,07EDGCOS0012,6.42
Z0230030237AB,ROUE  MM110,07EDGPPC0028,1.53
Z0230030250R,ROUE DE CARTOUCHE,07EDGPPC0029,10.37
Z0230030251R,ROUE DE CARTOUCHE,07EDGPPC0030,11.03
Z0230030254R,SPIRALE DE CARTOUCHE,07EDGPPC0031,9.59
Z0230030260R,SPIRALE DE CARTOUCHE,07EDGPPC0032,14.22
Z0230030262R,SPIRALE DE CARTOUCHE,07EDGPPC0033,8.91
Z0230030503R,AGITATEUR DE CONTENEURS ,07EDGPPC0034,13.7
Z0250008019,FILTRE CAFE,07EDGPPC0035,1.66
Z0250008099,FILTRE CAFE,07EDGPPC0036,2.32
Z0250008211,FILTRE CAFE D 37.3,07EDGPPC0037,3.98
Z0250014032R,CHAMBRE D'INFUSION D.36  ,07EDGPPC0038,37.72
Z0250014033R,GOULOTTE D. 36 ,07EDGPPC0039,4.48
Z0250014034R, BROSSE D.36,07EDGPPC0040,6.18
Z0250014038R, SUPPORT INFERIEUR D.36,07EDGPPC0041,9.51
Z0250014060CL,BROYEUR ET INFUSEUR CAFE D.36,07EDGPEM0025,149.16
Z0320001608R,ARBRE DE ROUE,07EDGPPC0042,7.43
Z0320001636,EJECTEUR,07EDGPPC0043,6.42
Z0320001657,COURROIE DE MEULE,07EDGPPC0044,7.63
Z0320001671CL3C,SYSTÈME ENTRAINEMENT POULIE,07EDGPEM0026,230.99
Z0320001680,LAME CONIQUES,07EDGPPC0045,24.24
Z0320001704,ARBRE DE POMPAGE ET BROYAGE,07EDGPPC0046,0.61
Z0600014111R,COUVERCLE DU RESERVOIR DE LA CHAUDIERE,07EDGCOS0013,40.97
Z0600014113,JOINT ELEMENT CHAUFFANT,07EDGPPC0047,0.8
Z0600014114,JOINT ELEMENT CHAUFFANT,07EDGPPC0048,0.76
Z0600014200CL2,POMPE DE CHAUDIERE 230V,07EDGPEM0027,130.12
Z0600014201CL2,POMPE DE CHAUDIERE 4PUMP 230V,07EDGPEM0028,144.76
Z0600016089,SUPPORT DE SONDE,07EDGPPC0049,0.49
Z0600016138R,ELEMENT CHAUFFANT 1600W 230V,07EDGPEM0029,36.21
Z0600016143R,ELEMENT CHAUFFANT 2600W 230V,07EDGPEM0030,44.46
Z0800013046,FLOTTEUR NIVEAU D'EAU,07EDGPPC0050,1.8
ZN 93118,Poignet avec vis,07WIKCOS0009,11.17
ZN 93119,Système d'extraction,07WIKPEM0014,45.06
ZN 93120,Réservoir à eau complet,07WIKCOS0002,11.57
ZN 93121,Mécanisme On/Off,07WIKPEM0006,6.57
ZN 93122,Pompe 230v-50Hz,07WIKPEM0004,15.12
ZN 93123,Clavier sélection café,07WIKPEM0007,8.89
ZN 93124,Façade enjoliveur,07WIKCOS0004,10.83
ZN 93125,Led pour tasse,07WIKPEM0009,0.99
ZN 93126,Grille sup. pour tasse espresso,07WIKCOS0007,7.94
ZN 93127,Grille sup. pour tasse lungo,07WIKCOS0005,5.51
ZN 93128,Bac égouttoir,07WIKCOS0008,9.15
ZN 93129,Flotteur,07WIKPPC0001,0.4
ZN 93130,bac à capsule,07WIKCOS0003,3.17
ZN 93131,kit compteur volumétrique,07WIKPPC0004,5.58
ZN 93132,Thermobloc,07WIKPEM0005,26.57
ZN 93133,Carte électronique principale,07WIKPEM0008,74.42
ZN 93134,Couplage réservoir à eau,07WIKPPC0002,1.06
ZN 93135,Rear panel Assy,07WIKCOS0006,7.11
ZN 93136,Panneau latéral,07WIKCOS0001,19.03
ZN 93137,Electrovanne,07WIKPPC0003,8.88
ZN 93138,NTC assy w/o screw,07WIKPEM0003,1.72
ZN 93139,Boitier de communicatio ASC,07WIKOUT0001,21.22
ZN 93140,Valve d'écoulement,07WIKPPC0005,3.29
ZN 93149,Joints Rouges 3.5x2,07WIKPPC0050,0.13
ZN 93150,Joints Noirs 3.68x1.78,Non Référencé CORDON,0
ZN 93151,clips,07WIKPPC0018,0.08
ZN 93153,Quick Connector,07WIKPPC0007,0.12
ZN 93154,Water level sensor wire,07WIKPPC0006,0.76
ZN 93156,Tube 235MM pump BU,07WIKPPC0012,0.84
ZN 93158,Tube 215MM Bu Thermoblock,07WIKPPC0013,0.82
ZN 93161,Tube 100MM Y Connector-pressure,07WIKPPC0053,0.72
ZN 93172,Kit adaptateur test pression,Non Référencé CORDON,0
ZN 93217,L-Connector Fluide Line,07WIKPPC0044,0.4
ZN 93218,Thermofuse 230V,07WIKPEM0012,3.43
ZN 93319,T-Connector,07WIKPPC0054,0.54
ZN 93325,TRIAC PCBA 230V,07WIKPEM0013,7.75
ZN 93430,FEP TUBE 85MM (T connector-E valve),07WIKPPC0060,0.68
ZN 96105,Capot noir Zenius,07WIKPPC0061,0
ZN 96553,Joint douchette zenius après 2019,07WIKPPC0071,0.46
ZN102860,Bouchon plateau zenius,07WIKPPC0068,0.27
ZN102861,Joint douchette zenius,07WIKPPC0069,0.44
ZN11300,Câble d'alimentation Zenius,07WIKPPC0045,3.12
ZN93119R,BU Zenius reconditionné,07WIKPEM0014R,0
ZN93121R,Bouton ON/OFF avec cosse,07WIKPEM0006R,6.43
ZN93122R,Pompe Zenius reconditionné,07WIKPEM0004R,0
ZN93138,NTC assy w/o screw,07WIKPEM0003,1.72
ZN93151,FEP TUBE CLIP,07WIKPPC0018,0.08
ZN93320,Screw 3.0x15 w/ washer magnetic,07WIKPPC0055,0.11
ZN93885,Connecteur Electrique,07WIKPEM0015,0.96
ZN95797,Panneau latéral Zenius Plastique,07WIKCOS0013,10.29
ZN96553,Joint douchette zenius après 2019,07WIKPPC0071,0.46
ZN96717,joint de couplage,07WIKPPC0072,0.23
ZN96932,Pompe Zenius V2,07WIKPEM0020,16.56
ZN96943,Thermoblock V2,07WIKPEM0017,28.71
ZN96949,Eléctrovanne 220V V2,07WIKPEM0018,9.62
ZN96952,Pressure valve V2,07WIKPPC0073,3.23
ZN96953,Joint transparent,07WIKPPC0074,0.25
ZN96954,Tube 235mm (Pump-BU) V2,07WIKPPC0075,0.83
ZN96955,Tube 230mm(Pump-Evalve//BU-TB) V2,07WIKPPC0076,0.83
ZN96958,Tube 87mm (Tcon-Evalve) V2,07WIKPPC0077,0.72
ZN96959,Tube 90mm (Tcon-Pres Valve) V2,07WIKPPC0078,0.72
ZN96960,Tube 68mm (Tcon TB) V2,07WIKPPC0079,0.66
ZN96961,Connecteur T V2,07WIKPPC0080,0.57
ZN96962,Connecteur L V2,07WIKPPC0081,0.43
ZN96963,Tube 210mm (Pump -Evalve>2019) V2,07WIKPPC0082,0.77
ZN97069,Unité d'extraction V2,07WIKPEM0019,49.62
0147266,Soupa magn DEV122-1560 V2,07EUGPPC0315,7.98
0150888,M120 - Pompe Lait V3,,262.83
0146888,,,4.74
SP_AC_012,,,53.11
0145350,,,17.64
0145349,Bac à eau M120 V3,,21.3
0150888R,M120 - Pompe Lait V3,,0
0152287,M120 - Raccord T - Pompe à lait - Air V2,,23.47
