TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Remise niv2,77,1
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Tarif normal,150,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Remise niv1,100,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Remise niv2,81,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Tarif normal,125,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Remise niv1,76,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Remise niv2,62,1
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Tarif normal,95,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Remise niv2,117,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Tarif normal,180,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Remise niv1,120,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Remise niv2,93,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Tarif normal,150,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,0,Remise niv1,116,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,0,Remise niv2,85,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,0,Tarif normal,155,1
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAANTECH,1,Remise niv1,116,1
