budg_bu,budg_categorie_pnl,budg_annee,budg_mois,budg_valeur
COMMERCE,MASSE_SALARIALE,2026,6,-171870.563125925
COMMERCE,MASSE_SALARIALE,2026,7,-171870.563125925
COMMERCE,MASSE_SALARIALE,2026,8,-333084.563125925
COMMERCE,MASSE_SALARIALE,2026,9,-171937.735625925
COMMERCE,MASSE_SALARIALE,2026,10,-172206.425625925
COMMERCE,MASSE_SALARIALE,2026,11,-333487.598125925
COMMERCE,MASSE_SALARIALE,2026,12,-333621.943125925
TECHNIQUE,MASSE_SALARIALE,2026,1,-109263.2046925
TECHNIQUE,MASSE_SALARIALE,2026,2,-144005.40882011
TECHNIQUE,MASSE_SALARIALE,2026,3,-144005.40882011
TECHNIQUE,MASSE_SALARIALE,2026,4,-144074.65882011
TECHNIQUE,MASSE_SALARIALE,2026,5,-144143.90882011
TECHNIQUE,MASSE_SALARIALE,2026,6,-144143.90882011
TECHNIQUE,MASSE_SALARIALE,2026,7,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,8,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,9,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,10,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,11,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,12,-179093.862947719
TECHNIQUE,CA,2025,1,459292.060550981
TECHNIQUE,CA,2025,2,452909.609217237
TECHNIQUE,CA,2025,3,464887.384227574
TECHNIQUE,CA,2025,4,470348.201338823
TECHNIQUE,CA,2025,5,428111.594500769
TECHNIQUE,CA,2025,6,478194.676612599
TECHNIQUE,CA,2025,7,417551.795508062
TECHNIQUE,CA,2025,8,327082.755801015
TECHNIQUE,CA,2025,9,472310.394078158
TECHNIQUE,CA,2025,10,518536.887692824
TECHNIQUE,CA,2025,11,450748.920024674
TECHNIQUE,CA,2025,12,404550.120447285
